"party","worried","grocery"
"Republican",0,1
"Republican",1,1
"Republican",0,0
"Democrat",1,0
"Democrat",1,1
"Democrat",1,1
"Republican",0,1
"Democrat",1,1
"Democrat",1,1
"Democrat",1,1
"Republican",0,1
"Democrat",1,1
"Democrat",1,0
"Democrat",1,0
"Democrat",1,0
"Democrat",0,0
"Republican",1,0
"Democrat",1,1
"Democrat",1,0
"Democrat",0,1
"Republican",0,1
"Republican",0,1
"Democrat",1,0
"Democrat",1,0
"Democrat",0,0
"Republican",1,1
"Republican",0,1
"Republican",0,0
"Democrat",1,0
"Democrat",1,1
"Democrat",1,1
"Republican",1,0
"Republican",1,0
"Republican",0,1
"Republican",0,1
"Democrat",1,1
"Republican",0,1
"Democrat",1,0
"Democrat",1,1
"Democrat",1,1
"Democrat",1,1
"Republican",0,1
"Democrat",1,1
"Democrat",1,0
"Democrat",1,1
"Democrat",1,1
"Democrat",0,0
"Democrat",1,1
"Republican",1,1
"Democrat",1,0
"Democrat",0,1
"Republican",0,0
"Democrat",0,1
"Democrat",1,0
"Democrat",1,0
"Republican",1,1
"Democrat",1,0
"Democrat",1,1
"Democrat",1,0
"Republican",0,0
"Republican",0,1
"Republican",1,1
"Republican",0,1
"Democrat",1,0
"Democrat",1,1
"Republican",0,1
"Democrat",1,0
"Democrat",1,0
"Democrat",1,1
"Democrat",1,0
"Democrat",1,0
"Democrat",1,1
"Democrat",1,1
"Democrat",1,1
"Republican",1,0
"Democrat",1,1
"Democrat",1,0
"Republican",1,1
"Democrat",1,1
"Democrat",0,1
"Republican",0,1
"Democrat",1,0
"Democrat",1,1
"Republican",1,1
"Republican",0,1
"Republican",1,0
"Republican",0,1
"Democrat",1,0
"Republican",0,0
"Republican",0,0
"Democrat",1,1
"Democrat",1,1
"Democrat",1,1
"Republican",0,1
"Republican",1,0
"Republican",1,0
"Republican",0,1
"Democrat",1,0
"Democrat",1,1
"Democrat",0,0
"Democrat",1,0
"Democrat",0,0
"Democrat",1,0
"Democrat",1,0
"Republican",0,1
"Democrat",1,0
"Democrat",1,1
"Republican",1,0
"Republican",0,1
"Republican",0,0
"Democrat",1,1
"Democrat",1,0
"Republican",0,1
"Democrat",1,0
"Republican",1,1
"Democrat",1,1
"Democrat",1,0
"Republican",0,1
"Democrat",1,0
"Republican",1,1
"Democrat",1,1
"Democrat",1,0
"Republican",0,1
"Republican",0,1
"Republican",0,1
"Republican",0,1
"Democrat",0,1
"Republican",0,1
"Democrat",1,1
"Republican",0,1
"Democrat",1,0
"Republican",1,0
"Democrat",1,0
"Republican",0,0
"Democrat",1,0
"Democrat",1,1
"Democrat",1,0
"Democrat",0,0
"Republican",0,1
"Democrat",1,0
"Democrat",1,1
"Democrat",0,1
"Democrat",1,0
"Republican",0,1
"Democrat",1,0
"Republican",0,0
"Democrat",1,0
"Republican",0,1
"Republican",0,1
"Republican",1,0
"Democrat",1,0
"Republican",1,1
"Republican",0,1
"Democrat",1,0
"Republican",0,0
"Republican",1,0
"Democrat",1,1
"Democrat",1,1
"Democrat",1,0
"Democrat",1,1
"Democrat",1,0
"Republican",1,0
"Democrat",1,1
"Democrat",1,0
"Democrat",1,0
"Republican",0,1
"Republican",1,1
"Democrat",1,1
"Democrat",1,1
"Democrat",1,1
"Democrat",1,1
"Republican",1,1
"Democrat",1,0
"Democrat",1,1
"Republican",0,1
"Democrat",1,0
"Democrat",1,0
"Republican",0,1
"Democrat",1,0
"Republican",0,0
"Democrat",1,0
"Republican",0,0
"Democrat",1,1
"Republican",0,1
"Democrat",1,0
"Democrat",1,1
"Republican",1,1
"Democrat",1,1
"Democrat",1,1
"Republican",1,1
"Republican",1,0
"Democrat",1,0
"Republican",0,1
"Democrat",1,1
"Democrat",1,0
"Republican",0,1
"Democrat",1,1
"Republican",1,0
"Democrat",1,0
"Democrat",1,1
"Republican",0,1
"Democrat",1,0
"Democrat",1,1
"Republican",0,1
"Republican",0,1
"Democrat",1,0
"Democrat",1,0
"Democrat",1,0
"Republican",1,0
"Republican",0,0
"Democrat",1,1
"Republican",0,1
"Democrat",1,1
"Democrat",0,1
"Democrat",1,1
"Democrat",1,0
"Democrat",1,0
"Republican",1,1
"Democrat",1,0
"Democrat",0,0
"Republican",0,0
"Republican",0,1
"Democrat",1,0
"Republican",1,0
"Democrat",1,1
"Democrat",1,0
"Republican",0,0
"Democrat",1,1
"Republican",1,0
"Democrat",1,0
"Democrat",0,0
"Democrat",1,0
"Democrat",1,1
"Democrat",1,0
"Republican",1,1
"Democrat",1,1
"Democrat",1,1
"Republican",1,0
"Democrat",1,0
"Republican",1,0
"Democrat",1,0
"Democrat",1,0
"Democrat",1,0
"Democrat",1,0
"Democrat",1,1
"Republican",1,1
"Republican",0,1
"Republican",1,0
"Republican",1,0
"Democrat",1,0
"Democrat",1,1
"Democrat",1,1
"Democrat",1,1
"Republican",0,0
"Democrat",0,1
"Democrat",1,0
"Republican",1,1
"Republican",0,0
"Republican",0,1
"Republican",0,1
"Republican",1,0
"Republican",0,0
"Democrat",1,0
"Democrat",1,0
"Republican",1,1
"Democrat",0,0
"Republican",0,1
"Republican",0,1
"Democrat",1,1
"Democrat",1,0
"Republican",0,1
"Democrat",1,0
"Republican",1,1
"Democrat",1,1
"Democrat",1,0
"Republican",0,0
"Republican",0,1
"Democrat",1,1
"Democrat",1,0
"Democrat",1,0
"Democrat",1,0
"Republican",0,1
"Democrat",1,1
"Democrat",1,1
"Republican",0,1
"Democrat",1,0
"Democrat",0,1
"Democrat",1,1
"Democrat",1,1
"Republican",1,0
"Republican",1,1
"Democrat",1,0
"Republican",1,1
"Democrat",0,1
"Republican",0,1
"Republican",1,0
"Republican",1,0
"Democrat",1,0
"Democrat",1,0
"Democrat",1,0
"Republican",0,1
"Democrat",1,1
"Democrat",1,1
"Democrat",1,1
"Republican",0,0
"Democrat",1,0
"Republican",1,1
"Democrat",1,1
"Democrat",1,0
"Democrat",1,0
"Democrat",1,0
"Democrat",0,1
"Democrat",1,1
"Democrat",0,0
"Democrat",1,0
"Democrat",1,0
"Democrat",1,1
"Democrat",1,0
"Republican",0,1
"Democrat",0,1
"Democrat",1,1
"Republican",1,1
"Democrat",1,1
"Democrat",1,0
"Democrat",1,1
"Democrat",1,1
"Democrat",1,0
"Democrat",1,0
"Democrat",1,1
"Democrat",1,0
"Democrat",1,1
"Democrat",1,1
"Democrat",1,0
"Republican",0,1
"Republican",0,1
"Republican",1,0
"Republican",0,1
"Democrat",1,0
"Republican",0,0
"Republican",0,0
"Democrat",1,1
"Democrat",1,1
"Democrat",1,0
"Republican",0,1
"Republican",0,0
"Republican",1,1
"Democrat",1,0
"Democrat",1,1
"Republican",1,0
"Republican",0,1
"Republican",0,1
"Republican",0,1
"Democrat",1,1
"Republican",1,0
"Democrat",0,1
"Republican",1,0
"Republican",1,0
"Democrat",1,0
"Democrat",1,0
"Republican",0,1
"Democrat",1,0
"Democrat",1,0
"Democrat",1,1
"Democrat",1,1
"Democrat",1,0
"Republican",1,0
"Democrat",1,0
"Democrat",1,0
"Democrat",1,0
"Democrat",1,0
"Democrat",1,1
"Republican",0,1
"Republican",0,1
"Republican",0,1
"Democrat",1,1
"Democrat",1,0
"Democrat",1,0
"Democrat",1,1
"Republican",0,1
"Republican",0,1
"Democrat",1,0
"Republican",1,0
"Democrat",0,0
"Republican",0,1
"Democrat",1,0
"Democrat",1,0
"Republican",0,0
"Republican",1,1
"Republican",0,1
"Democrat",1,0
"Democrat",1,1
"Democrat",1,1
"Democrat",1,1
"Democrat",0,1
"Republican",1,1
"Republican",1,1
"Democrat",1,0
"Democrat",1,1
"Democrat",1,1
"Republican",0,1
"Democrat",0,1
"Democrat",1,0
"Republican",0,0
"Republican",0,1
"Republican",1,1
"Democrat",1,0
"Democrat",0,0
"Democrat",0,1
"Democrat",1,1
"Republican",1,1
"Democrat",1,1
"Democrat",1,0
"Democrat",1,1
"Democrat",1,1
"Republican",0,0
"Democrat",1,0
"Democrat",1,0
"Democrat",1,0
"Republican",1,0
"Democrat",1,1
"Democrat",0,1
"Democrat",1,0
"Republican",1,0
"Democrat",1,1
"Democrat",1,0
"Democrat",1,1
"Republican",0,1
"Republican",0,1
"Republican",0,1
"Republican",1,0
"Democrat",1,0
"Democrat",1,0
"Democrat",1,1
"Democrat",1,1
"Democrat",1,0
"Republican",1,0
"Republican",0,1
"Democrat",1,1
"Democrat",1,1
"Republican",0,0
"Democrat",1,0
"Republican",0,0
"Democrat",1,1
"Republican",1,1
"Republican",0,0
"Republican",1,0
"Democrat",1,1
"Republican",0,0
"Democrat",1,0
"Democrat",1,0
"Democrat",1,1
"Democrat",1,0
"Democrat",1,1
"Republican",0,1
"Republican",1,1
"Democrat",1,1
"Republican",0,1
"Democrat",0,0
"Republican",0,1
"Democrat",1,1
"Democrat",1,0
"Republican",1,0
"Republican",0,0
"Democrat",1,0
"Democrat",1,0
"Democrat",1,0
"Democrat",1,1
"Democrat",1,1
"Democrat",1,1
"Democrat",1,0
"Republican",1,1
"Republican",0,1
"Democrat",1,0
"Democrat",1,0
"Republican",0,1
"Republican",1,1
"Democrat",1,0
"Democrat",1,0
"Republican",0,1
"Republican",0,1
"Republican",1,0
"Democrat",1,0
"Democrat",1,0
"Democrat",1,1
"Democrat",1,1
"Democrat",1,1
"Democrat",1,1
"Democrat",1,0
"Republican",1,1
"Democrat",1,0
"Democrat",0,1
"Republican",0,0
"Democrat",0,1
"Democrat",1,1
"Republican",1,0
"Democrat",0,1
"Republican",0,1
"Republican",0,0
"Democrat",1,1
"Republican",1,1
"Republican",1,0
"Democrat",1,1
"Democrat",1,0
"Republican",0,0
"Republican",0,0
"Democrat",1,0
"Republican",0,1
"Republican",0,0
"Democrat",1,0
"Republican",0,0
"Democrat",1,1
"Democrat",1,1
"Democrat",1,0
"Democrat",1,0
"Democrat",1,1
"Democrat",1,0
"Democrat",1,1
"Republican",1,0
"Democrat",1,1
"Democrat",1,0
"Democrat",1,0
"Republican",0,1
"Democrat",1,1
"Republican",0,1
"Democrat",1,0
"Democrat",1,1
"Republican",0,1
"Republican",1,1
"Democrat",1,1
"Democrat",1,1
"Republican",1,0
"Democrat",1,0
"Democrat",1,1
"Democrat",1,0
"Republican",1,0
"Democrat",1,0
"Democrat",1,0
"Democrat",1,0
"Republican",0,1
"Democrat",1,1
"Democrat",1,0
"Democrat",0,1
"Republican",0,1
"Democrat",1,1
"Democrat",1,1
"Democrat",1,0
"Republican",0,1
"Republican",0,1
"Republican",0,1
"Democrat",1,0
"Republican",0,1
"Democrat",1,0
"Republican",1,1
"Republican",1,1
"Republican",1,0
"Republican",0,0
"Democrat",1,1
"Republican",1,0
"Democrat",1,0
"Democrat",1,1
"Republican",1,1
"Republican",0,0
"Democrat",1,1
"Democrat",1,1
"Democrat",1,0
"Republican",0,1
"Republican",1,1
"Democrat",1,0
"Republican",0,1
"Republican",0,0
"Democrat",1,1
"Republican",0,1
"Democrat",1,1
"Democrat",1,0
"Republican",0,1
"Democrat",1,1
"Republican",0,1
"Democrat",1,0
"Republican",1,1
"Democrat",1,0
"Republican",0,0
"Democrat",1,1
"Democrat",1,1
"Democrat",1,1
"Republican",0,1
"Democrat",1,1
"Republican",1,0
"Republican",1,0
"Democrat",1,1
"Democrat",0,0
"Democrat",1,1
"Republican",0,0
"Republican",0,1
"Democrat",1,1
"Democrat",1,0
"Republican",0,1
"Democrat",1,0
"Republican",0,1
"Democrat",0,0
"Republican",0,0
"Democrat",1,0
"Democrat",1,0
"Democrat",1,1
"Republican",0,0
"Democrat",1,0
"Democrat",1,0
"Democrat",1,0
"Republican",1,0
"Democrat",1,1
"Democrat",1,1
"Democrat",1,0
"Democrat",1,1
"Republican",1,1
"Democrat",1,1
"Democrat",1,1
"Democrat",0,0
"Democrat",1,0
"Republican",1,1
"Republican",1,0
"Democrat",1,1
"Democrat",0,0
"Democrat",1,1
"Democrat",1,0
"Republican",1,0
"Democrat",1,0
"Republican",1,0
"Republican",1,0
"Republican",0,1
"Republican",0,1
"Republican",0,1
"Republican",1,1
"Republican",1,1
"Republican",1,0
"Democrat",1,0
"Republican",1,1
"Democrat",0,1
"Republican",1,0
"Democrat",1,0
"Democrat",1,0
"Democrat",1,0
"Republican",0,1
"Democrat",0,0
"Democrat",1,1
"Democrat",0,1
"Republican",1,1
"Republican",1,1
"Republican",0,1
"Democrat",1,0
"Democrat",1,1
"Republican",1,1
"Republican",0,1
"Democrat",1,0
"Democrat",1,0
"Republican",0,1
"Republican",0,1
"Republican",1,0
"Democrat",0,1
"Democrat",1,0
"Democrat",1,1
"Republican",1,1
"Republican",1,0
"Republican",1,1
"Democrat",1,0
"Republican",0,1
"Republican",0,1
"Republican",1,1
"Democrat",1,0
"Republican",0,0
"Democrat",1,1
"Democrat",1,0
"Republican",0,1
"Republican",1,0
"Democrat",1,0
"Democrat",1,0
"Republican",0,0
"Democrat",1,1
"Democrat",0,1
"Republican",0,0
"Republican",1,0
"Republican",1,1
"Democrat",1,0
"Democrat",1,1
"Democrat",1,0
"Republican",0,1
"Democrat",1,0
"Democrat",1,0
"Democrat",1,1
"Republican",0,1
"Republican",1,1
"Republican",0,1
"Democrat",1,1
"Democrat",1,0
"Democrat",0,1
"Republican",0,0
"Republican",0,1
"Republican",0,0
"Republican",0,0
"Republican",0,0
"Democrat",1,0
"Republican",1,0
"Republican",1,1
"Republican",0,0
"Democrat",1,1
"Republican",0,1
"Democrat",1,1
"Republican",0,0
"Republican",0,1
"Republican",1,1
"Democrat",1,1
"Republican",1,0
"Republican",0,1
"Republican",1,0
"Republican",0,1
"Republican",0,1
"Republican",1,0
"Democrat",1,0
"Democrat",1,1
"Democrat",0,0
"Democrat",1,1
"Democrat",1,1
"Republican",1,1
"Republican",0,0
"Republican",1,0
"Democrat",1,1
"Democrat",1,1
"Democrat",1,0
"Democrat",1,1
"Democrat",1,1
"Democrat",1,1
"Republican",0,0
"Democrat",1,1
"Republican",0,1
"Republican",0,1
"Republican",0,1
"Republican",0,1
"Republican",1,0
"Republican",0,1
"Republican",1,0
"Republican",1,1
"Republican",1,0
"Democrat",1,0
"Republican",0,1
"Republican",0,0
"Democrat",1,1
"Democrat",1,0
"Republican",1,0
"Republican",1,1
"Republican",0,1
"Democrat",1,0
"Republican",1,1
"Democrat",1,1
"Republican",1,0
"Republican",0,0
"Democrat",1,1
"Democrat",1,0
"Democrat",1,1
"Democrat",1,1
"Republican",0,0
"Republican",0,0
"Republican",1,1
"Democrat",1,1
"Democrat",1,1
"Democrat",1,1
"Democrat",1,1
"Democrat",1,1
"Republican",1,0
"Democrat",1,0
"Republican",1,1
"Democrat",1,0
"Democrat",1,0
"Democrat",0,1
"Democrat",1,1
"Democrat",1,1
"Republican",1,0
"Republican",0,1
"Democrat",1,1
"Republican",1,0
"Democrat",1,0
"Democrat",1,1
"Democrat",1,1
"Democrat",1,1
"Democrat",0,1
"Democrat",1,1
"Republican",0,1
"Republican",1,1
"Democrat",1,0
"Republican",1,0
"Republican",0,1
"Democrat",1,1
"Democrat",1,0
"Democrat",1,0
"Democrat",1,0
"Republican",1,1
"Republican",0,1
"Republican",1,1
"Republican",0,1
"Republican",1,1
"Democrat",1,1
"Republican",0,1
"Democrat",1,1
"Democrat",0,0
"Democrat",1,1
"Republican",1,1
"Republican",1,1
"Democrat",1,0
"Republican",0,0
"Republican",0,0
"Democrat",1,0
"Democrat",1,0
"Republican",1,1
"Democrat",1,1
"Republican",0,1
"Republican",1,1
"Democrat",1,1
"Republican",0,0
"Democrat",1,1
"Republican",0,0
"Republican",0,1
"Democrat",1,0
"Republican",0,1
"Democrat",1,0
"Republican",1,0
"Republican",1,1
"Democrat",1,0
"Democrat",1,0
"Democrat",1,1
"Democrat",1,0
"Democrat",1,1
"Democrat",1,1
"Republican",1,1
"Democrat",1,1
"Democrat",1,0
"Republican",1,1
"Republican",0,1
"Republican",1,1
"Democrat",1,0
"Democrat",1,1
"Republican",0,0
"Democrat",1,0
"Democrat",1,0
"Republican",1,0
"Republican",1,0
"Democrat",1,1
"Republican",0,0
"Democrat",1,0
"Republican",1,1
"Democrat",1,1
"Republican",1,0
"Republican",0,1
"Democrat",1,0
"Democrat",0,1
"Democrat",1,1
"Republican",0,1
"Democrat",1,1
"Republican",0,1
"Democrat",1,0
"Democrat",1,0
"Republican",0,1
"Democrat",1,0
"Democrat",1,1
"Republican",0,0
"Republican",0,1
"Democrat",1,1
"Republican",0,1
"Republican",0,1
"Democrat",1,0
"Republican",1,1
"Democrat",1,1
"Democrat",1,0
"Republican",1,1
"Republican",1,1
"Republican",0,0
"Republican",0,1
"Republican",1,1
"Democrat",1,0
"Republican",0,1
"Democrat",1,0
"Democrat",1,0
"Republican",0,1
"Republican",0,0
"Republican",0,1
"Democrat",1,1
"Democrat",1,0
"Democrat",1,0
"Democrat",1,1
"Democrat",1,0
"Republican",1,1
"Republican",1,0
"Republican",0,1
"Democrat",1,1
"Democrat",1,0
"Republican",0,1
"Republican",0,1
"Democrat",1,1
"Republican",0,1
"Republican",1,0
"Republican",1,0
"Democrat",1,0
"Republican",1,0
"Democrat",0,1
"Democrat",1,1
"Democrat",1,0
"Republican",0,1
"Democrat",1,0
"Democrat",1,1
"Democrat",1,1
"Democrat",1,1
"Democrat",1,1
"Republican",0,1
"Democrat",0,1
"Democrat",1,0
"Democrat",0,1
"Democrat",1,0
"Republican",1,0
"Democrat",1,0
"Democrat",0,0
"Republican",0,1
"Republican",0,1
"Republican",1,0
"Democrat",1,0
"Republican",0,1
"Republican",0,1
"Democrat",1,1
"Democrat",1,0
"Republican",1,1
"Democrat",1,1
"Democrat",1,1
"Republican",0,1
"Democrat",1,1
"Republican",1,0
"Democrat",1,1
"Republican",0,1
"Republican",0,1
"Republican",0,1
"Republican",0,1
"Democrat",1,1
"Democrat",1,1
"Democrat",1,0
"Democrat",0,1
"Democrat",1,0
"Democrat",1,1
"Democrat",1,1
"Democrat",1,0
"Republican",1,0
"Democrat",1,1
"Republican",0,1
"Republican",0,1
"Republican",0,0
"Democrat",1,1
"Republican",0,1
"Republican",1,0
"Republican",0,1
"Republican",0,1
"Republican",0,0
"Republican",0,0
"Democrat",1,0
"Republican",0,0
"Republican",0,0
"Republican",0,1
"Republican",1,0
"Republican",0,1
"Republican",1,1
"Democrat",1,0
"Republican",0,1
"Republican",0,0
"Republican",1,0
"Republican",1,1
"Republican",0,0
"Democrat",1,0
"Democrat",1,0
"Republican",1,1
"Democrat",1,1
"Democrat",1,0
"Democrat",1,0
"Democrat",1,1
"Democrat",1,0
"Republican",1,1
"Republican",1,1
"Republican",0,0
"Democrat",1,1
"Democrat",1,0
"Republican",0,1
"Democrat",1,1
"Democrat",1,0
"Democrat",1,1
"Democrat",1,1
"Republican",1,1
"Republican",1,1
"Republican",0,1
"Republican",1,0
"Republican",1,0
"Democrat",1,1
"Republican",0,1
"Republican",1,0
"Republican",0,1
"Democrat",1,0
"Republican",0,1
"Republican",1,1
"Republican",1,1
"Democrat",1,1
"Republican",0,1
"Democrat",1,1
"Republican",0,1
"Republican",1,1
"Democrat",1,0
"Republican",0,1
"Republican",1,1
"Republican",0,1
"Democrat",1,0
"Republican",0,1
"Republican",1,1
"Democrat",1,0
"Democrat",1,1
"Democrat",1,1
"Democrat",1,1
"Democrat",1,1
"Republican",1,0
"Democrat",1,1
"Democrat",1,0
"Democrat",1,1
"Democrat",1,1
"Democrat",0,0
"Democrat",1,1
"Democrat",0,1
"Democrat",1,1
"Republican",1,0
"Democrat",1,0
"Democrat",1,0
"Democrat",1,1
"Democrat",1,1
"Republican",0,1
"Democrat",1,0
"Republican",0,1
"Republican",0,1
"Democrat",0,1
"Democrat",0,1
"Republican",0,1
"Republican",0,1
"Republican",0,1
"Democrat",1,0
"Republican",0,1
"Democrat",1,0
"Republican",0,1
"Democrat",1,1
"Democrat",1,0
"Republican",1,1
"Democrat",1,1
"Democrat",0,0
"Republican",0,1
"Republican",1,0
"Republican",0,1
"Democrat",1,1
"Democrat",1,0
"Democrat",1,0
"Republican",0,1
"Democrat",0,1
"Republican",0,1
"Republican",1,1
"Democrat",1,0
"Democrat",1,0
"Republican",1,0
"Republican",1,1
"Republican",0,1
"Democrat",1,0
"Democrat",1,0
"Democrat",1,0
"Democrat",1,1
"Republican",0,1
"Democrat",0,1
"Democrat",1,1
"Republican",0,1
"Republican",0,0
"Democrat",1,0
"Democrat",1,0
"Republican",1,0
"Republican",0,0
"Democrat",1,0
"Democrat",0,1
"Democrat",0,1
"Republican",0,0
"Democrat",0,1
"Republican",0,1
"Democrat",1,1
"Republican",1,1
"Democrat",1,1
"Democrat",1,1
"Republican",0,1
"Democrat",1,0
"Democrat",1,0
"Republican",1,0
"Republican",0,1
"Democrat",1,1
"Republican",0,1
"Democrat",1,0
"Democrat",1,0
"Democrat",1,1
"Republican",0,1
"Democrat",1,1
"Republican",0,1
"Democrat",1,1
"Democrat",1,0
"Democrat",1,0
"Republican",0,1
"Republican",1,1
"Democrat",1,1
"Republican",0,1
"Republican",0,0
"Democrat",1,0
"Republican",1,0
"Democrat",1,0
"Democrat",1,0
"Democrat",1,0
"Democrat",1,0
"Republican",0,1
"Republican",0,1
"Republican",1,1
"Republican",0,0
"Republican",1,1
"Republican",0,1
"Democrat",1,1
"Democrat",1,1
"Republican",1,1
"Republican",0,1
"Republican",1,0
"Republican",1,0
"Democrat",1,1
"Republican",0,1
"Republican",1,0
"Democrat",1,0
"Democrat",0,0
"Republican",0,1
"Democrat",1,1
"Republican",0,1
"Democrat",1,1
"Republican",1,0
"Republican",0,1
"Republican",0,1
"Republican",0,0
"Democrat",1,1
"Democrat",1,0
"Republican",0,0
"Republican",0,1
"Democrat",1,1
"Republican",0,0
"Democrat",0,1
"Republican",0,1
"Republican",0,0
"Democrat",1,1
"Republican",1,1
"Republican",0,1
"Democrat",1,1
"Democrat",1,1
"Democrat",1,1
"Democrat",0,1
"Republican",0,1
"Democrat",1,0
"Democrat",1,0
"Republican",1,0
"Democrat",0,0
"Republican",1,1
"Democrat",1,1
"Republican",0,1
"Republican",0,1
"Democrat",1,0
"Democrat",1,0
"Democrat",0,0
"Democrat",1,1
"Democrat",1,1
"Republican",0,1
"Democrat",1,1
"Democrat",1,1
"Republican",0,0
"Republican",0,1
"Democrat",1,1
"Republican",0,1
"Republican",1,1
"Republican",0,1
"Republican",0,1
"Republican",1,0
"Democrat",1,1
"Republican",0,1
"Democrat",0,1
"Democrat",1,0
"Democrat",1,0
"Republican",1,0
"Republican",0,0
"Democrat",1,1
"Democrat",1,1
"Democrat",1,1
"Democrat",1,1
"Republican",0,1
"Democrat",1,0
"Republican",0,1
"Republican",1,1
"Democrat",1,0
"Democrat",1,1
"Republican",0,0
"Democrat",1,0
"Republican",0,1
"Democrat",1,1
"Democrat",1,0
"Democrat",1,0
"Democrat",0,1
"Democrat",1,0
"Democrat",1,0
"Democrat",0,0
"Democrat",1,0
"Democrat",1,0
"Republican",1,0
"Republican",1,1
"Republican",1,1
"Democrat",1,0
"Democrat",1,0
"Republican",0,0
"Democrat",1,1
"Republican",1,1
"Democrat",1,1
"Republican",1,1
"Democrat",1,0
"Republican",0,1
"Republican",1,1
"Republican",1,0
"Democrat",1,0
"Republican",0,1
"Democrat",1,1
"Democrat",1,1
"Republican",1,1
"Democrat",1,0
"Democrat",1,1
"Republican",0,1
"Democrat",1,1
"Republican",0,1
"Democrat",0,0
"Democrat",1,0
"Republican",1,1
"Democrat",1,1
"Democrat",1,0
"Democrat",1,1
"Democrat",1,1
"Democrat",0,0
"Democrat",1,0
"Republican",0,1
"Republican",0,0
"Democrat",0,0
"Democrat",1,0
"Republican",0,1
"Democrat",1,0
"Republican",0,1
"Democrat",1,1
"Republican",1,0
"Democrat",1,0
"Democrat",0,1
"Republican",0,0
"Republican",1,1
"Democrat",1,0
"Republican",1,1
"Democrat",1,0
"Republican",0,1
"Republican",1,0
"Republican",0,1
"Republican",1,1
"Democrat",1,1
"Democrat",1,0
"Republican",0,1
"Republican",1,0
"Republican",1,0
"Democrat",0,1
"Democrat",1,1
"Democrat",1,1
"Republican",0,1
"Democrat",1,1
"Democrat",1,1
"Democrat",1,0
"Republican",0,1
"Republican",1,0
"Republican",1,1
"Democrat",1,1
"Republican",1,1
"Republican",0,0
"Republican",1,1
"Democrat",1,0
"Democrat",1,1
"Democrat",1,0
"Republican",0,1
"Republican",0,1
"Republican",1,1
"Democrat",1,0
"Democrat",1,0
"Republican",1,0
"Democrat",1,1
"Democrat",1,0
"Republican",0,1
"Democrat",1,1
"Democrat",1,0
"Democrat",1,1
"Democrat",1,0
"Democrat",1,1
"Republican",0,0
"Democrat",1,0
"Democrat",1,1
"Republican",0,1
"Democrat",0,0
"Republican",1,0
"Republican",1,0
"Republican",0,1
"Republican",0,1
"Republican",0,1
"Republican",0,1
"Republican",1,1
"Republican",0,1
"Republican",0,1
"Democrat",1,0
"Democrat",0,1
"Democrat",0,1
"Republican",0,1
"Democrat",0,1
"Republican",0,1
"Democrat",0,0
"Democrat",1,1
"Republican",0,0
"Democrat",1,0
"Democrat",1,1
"Democrat",1,1
"Democrat",1,0
"Republican",0,0
"Republican",0,0
"Democrat",1,1
"Republican",0,0
"Democrat",1,0
"Democrat",1,1
"Republican",1,1
"Republican",0,1
"Democrat",1,1
"Democrat",1,0
"Democrat",1,1
"Democrat",1,0
"Republican",1,1
"Democrat",1,0
"Democrat",0,0
"Democrat",1,1
"Republican",0,1
"Republican",1,0
"Republican",0,1
"Republican",1,1
"Republican",0,1
"Democrat",1,1
"Democrat",0,1
"Democrat",0,0
"Republican",1,1
"Democrat",1,1
"Democrat",1,1
"Republican",0,1
"Republican",0,1
"Democrat",1,1
"Republican",0,1
"Democrat",1,1
"Republican",0,1
"Democrat",1,0
"Democrat",1,0
"Democrat",1,0
"Republican",1,0
"Republican",0,1
"Democrat",1,0
"Democrat",1,0
"Democrat",0,0
"Republican",1,0
"Democrat",1,1
"Democrat",1,1
"Republican",0,1
"Republican",0,1
"Republican",0,0
"Republican",0,0
"Republican",0,1
"Republican",0,1
"Republican",0,1
"Democrat",1,1
"Democrat",1,1
"Democrat",1,1
"Democrat",0,1
"Democrat",1,1
"Republican",1,1
"Republican",0,1
"Democrat",1,0
"Republican",0,1
"Republican",0,1
"Republican",1,0
"Republican",0,0
"Democrat",1,0
"Republican",0,1
"Republican",1,1
"Democrat",1,0
"Democrat",1,0
"Democrat",1,0
"Democrat",1,1
"Republican",0,0
"Democrat",1,0
"Republican",1,0
"Democrat",0,0
"Democrat",1,0
"Democrat",1,0
"Democrat",0,1
"Democrat",0,0
"Republican",0,1
"Republican",0,1
"Democrat",1,1
"Democrat",1,1
"Democrat",1,0
"Democrat",1,0
"Democrat",0,1
"Democrat",1,0
"Republican",1,1
"Republican",0,1
"Democrat",1,0
"Republican",0,1
"Democrat",1,1
"Republican",1,0
"Democrat",1,0
"Republican",0,1
"Republican",0,1
"Democrat",1,0
"Democrat",1,0
"Democrat",1,0
"Republican",1,0
"Republican",0,0
"Republican",1,1
"Republican",0,0
"Democrat",0,1
"Democrat",1,1
"Democrat",1,0
"Republican",0,1
"Republican",0,1
"Democrat",1,0
"Democrat",1,1
"Democrat",1,0
"Republican",1,1
"Democrat",1,0
"Democrat",1,1
"Republican",1,1
"Republican",0,0
"Republican",0,1
"Democrat",1,0
"Democrat",1,1
"Republican",1,0
"Democrat",1,1
"Democrat",1,0
"Republican",0,0
"Republican",1,0
"Democrat",1,1
"Democrat",1,1
"Democrat",1,0
"Democrat",1,0
"Democrat",1,0
"Democrat",1,1
"Republican",0,1
"Democrat",0,1
"Republican",1,0
"Democrat",1,0
"Democrat",1,0
"Democrat",1,0
"Republican",1,0
"Democrat",1,0
"Democrat",1,0
"Democrat",1,0
